,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Cercophora caudata,1,0,1,0,21,1.322219295,17,1.230448921,-2.787460475,-2.164527798,,
Cercospora mercurialis,3,0.477121255,3,0.477121255,173,2.238046103,115,2.06069784,-2.308919956,-1.316790543,,
Cercospora rhamni,1,0,1,0,4,0.602059991,3,0.477121255,-2.787460475,-2.920297288,,
Cercospora scandens,3,0.477121255,3,0.477121255,21,1.322219295,13,1.113943352,-2.308919956,-2.281732433,,
Cercosporella primulae,1,0,1,0,13,1.113943352,7,0.84509804,-2.787460475,-2.551624238,,
Ceriporia excelsa,1,0,1,0,107,2.029383778,57,1.755874856,-2.787460475,-1.632048611,,
Ceriporia reticulata,6,0.77815125,6,0.77815125,275,2.439332694,169,2.227886705,-2.005752329,-1.139655569,,
Ceriporia viridans,3,0.477121255,3,0.477121255,289,2.460897843,127,2.103803721,-2.308919956,-1.271494017,,
Ceriporiopsis aneirina,12,1.079181246,12,1.079181246,19,1.278753601,6,0.77815125,-1.700415245,-2.618745199,,
Ceriporiopsis gilvescens,15,1.176091259,13,1.113943352,338,2.5289167,142,2.152288344,-1.66493112,-1.220255456,,
Ceriporiopsis mucida,2,0.301029996,2,0.301029996,9,0.954242509,8,0.903089987,-2.485721426,-2.493458051,,
Cerrena unicolor,10,1,7,0.84509804,117,2.068185862,46,1.662757832,-1.938090651,-1.727116727,,
