,count,log_count,National_count,log_National_count,National_grid,log_National_grid,National_grid_p,logit_National_grid,,
Mycena pura,3197,3.504742636,1036,3.015359755,220,2.342422681,0.471092077,-0.050274272,,
Mycena rosea,228,2.357934847,304,2.482873584,89,1.949390007,0.190578158,-0.628101793,,
Mycena sanguinolenta,95,1.977723605,412,2.614897216,121,2.08278537,0.259100642,-0.456290728,,
Mycena vitilis,5,0.698970004,78,1.892094603,34,1.531478917,0.072805139,-1.105008979,,
Mycena zephirus,27,1.431363764,199,2.298853076,89,1.949390007,0.190578158,-0.628101793,,
Myochromella boudieri,2,0.301029996,19,1.278753601,17,1.230448921,0.03640257,-1.422763592,,
Myochromella inolens,1,0,13,1.113943352,9,0.954242509,0.019271949,-1.706622969,,
Panellus serotinus,15,1.176091259,141,2.149219113,71,1.851258349,0.152034261,-0.746436837,,
Panellus stipticus,17,1.230448921,295,2.469822016,100,2,0.214132762,-0.564666064,,
Paralepista flaccida,52,1.716003344,244,2.387389826,98,1.991226076,0.209850107,-0.57580029,,
Phaeoclavulina flaccida,93,1.968482949,24,1.380211242,15,1.176091259,0.032119914,-1.479047176,,
Phaeocollybia arduennensis,4,0.602059991,9,0.954242509,5,0.698970004,0.010706638,-1.965671971,,
Pholiota astragalina,7,0.84509804,161,2.206825876,78,1.892094603,0.167023555,-0.697854999,,
Pholiota squarrosa,851,2.92992956,141,2.149219113,66,1.819543936,0.141327623,-0.783600437,,
Pluteus atromarginatus,1,0,133,2.123851641,68,1.832508913,0.145610278,-0.768463983,,
Pluteus brunneoradiatus,2,0.301029996,17,1.230448921,15,1.176091259,0.032119914,-1.479047176,,
Pluteus cervinus,62,1.792391689,536,2.72916479,132,2.120573931,0.282655246,-0.404470876,,
Pluteus nanus,11,1.041392685,55,1.740362689,28,1.447158031,0.059957173,-1.195306489,,
Pluteus romellii,1,0,108,2.033423755,64,1.806179974,0.137044968,-0.799125072,,
Pluteus satur,1,0,15,1.176091259,14,1.146128036,0.029978587,-1.509970166,,
Psathyrella corrugis,2,0.301029996,51,1.707570176,32,1.505149978,0.068522484,-1.133339279,,
Psathyrella dicrani,5,0.698970004,1,0,1,0,0.002141328,-2.668385917,,
Psathyrella piluliformis,543,2.73479983,79,1.897627091,40,1.602059991,0.085653105,-1.028367884,,
Pseudoclitocybe cyathiformis,72,1.857332496,321,2.506505032,100,2,0.214132762,-0.564666064,,
Pseudoomphalina compressipes,15,1.176091259,37,1.568201724,23,1.361727836,0.049250535,-1.285655134,,
Psilocybe crobula,2,0.301029996,37,1.568201724,21,1.322219295,0.04496788,-1.327115564,,
Rhodocollybia butyracea,6250,3.795880017,699,2.844477176,174,2.240549248,0.372591006,-0.226318372,,
Rhodocollybia maculata,30,1.477121255,220,2.342422681,89,1.949390007,0.190578158,-0.628101793,,
Rhodocollybia prolixa,529,2.723455672,65,1.812913357,31,1.491361694,0.066381156,-1.148124795,,
Ripartites tricholoma,1,0,149,2.173186268,77,1.886490725,0.164882227,-0.704573882,,
Rugosomyces carneus,3,0.477121255,55,1.740362689,34,1.531478917,0.072805139,-1.105008979,,
Russula acrifolia,703,2.846955325,88,1.944482672,45,1.653212514,0.096359743,-0.972099937,,
Russula albonigra,4,0.602059991,68,1.832508913,35,1.544068044,0.074946467,-1.091415702,,
Russula amethystina,2,0.301029996,57,1.755874856,33,1.51851394,0.070663812,-1.11897579,,
Russula anthracina,1,0,142,2.152288344,51,1.707570176,0.109207709,-0.911523155,,
Russula aurora,270,2.431363764,33,1.51851394,21,1.322219295,0.04496788,-1.327115564,,
Russula chloroides,15,1.176091259,164,2.214843848,72,1.857332496,0.154175589,-0.739264599,,
Russula cyanoxantha,951,2.978180517,1087,3.036229544,158,2.198657087,0.338329764,-0.291301392,,
Russula delica,21,1.322219295,414,2.617000341,114,2.056904851,0.244111349,-0.490869854,,
Russula densifolia,6,0.77815125,80,1.903089987,55,1.740362689,0.117773019,-0.874534527,,
Russula faginea,13,1.113943352,27,1.431363764,18,1.255272505,0.038543897,-1.396973836,,
Russula fellea,1416,3.151063253,291,2.463892989,99,1.995635195,0.211991435,-0.570212624,,
Russula firmula,4,0.602059991,109,2.037426498,48,1.681241237,0.102783726,-0.940972786,,
Russula foetens,179,2.252853031,260,2.414973348,73,1.86332286,0.156316916,-0.732173362,,
Russula fragilis,4,0.602059991,84,1.924279286,47,1.672097858,0.100642398,-0.951151432,,
Russula grata,33,1.51851394,133,2.123851641,66,1.819543936,0.141327623,-0.783600437,,
Russula grisea,109,2.037426498,41,1.612783857,24,1.380211242,0.051391863,-1.266192485,,
Russula heterophylla,6,0.77815125,92,1.963787827,39,1.591064607,0.083511777,-1.040379162,,
Russula illota,2,0.301029996,46,1.662757832,30,1.477121255,0.064239829,-1.163360182,,
Russula integra,41,1.612783857,572,2.757396029,126,2.100370545,0.269807281,-0.432383834,,
Russula langei,14,1.146128036,7,0.84509804,5,0.698970004,0.010706638,-1.965671971,,
Russula minutula,2,0.301029996,7,0.84509804,5,0.698970004,0.010706638,-1.965671971,,
Russula nauseosa,2,0.301029996,146,2.164352856,73,1.86332286,0.156316916,-0.732173362,,
Russula nigricans,481,2.682145076,459,2.661812686,126,2.100370545,0.269807281,-0.432383834,,
Russula nobilis,2932,3.467163966,262,2.418301291,85,1.929418926,0.182012848,-0.652644437,,
Russula ochroleuca,5741,3.758987547,587,2.768638101,146,2.164352856,0.312633833,-0.342152177,,
Russula olivacea,10,1,627,2.797267541,108,2.033423755,0.231263383,-0.521670693,,
Russula postiana,2,0.301029996,98,1.991226076,37,1.568201724,0.079229122,-1.065266732,,
Russula pseudointegra,2,0.301029996,30,1.477121255,10,1,0.021413276,-1.6599162,,
Russula puellaris,47,1.672097858,171,2.23299611,66,1.819543936,0.141327623,-0.783600437,,
